"name" "left" "right" "strand" "number" "genes"
"1" "C0067" 238462 238586 "forward" 1 "C0067"
"2" "C0293" 1196714 1196786 "forward" 1 "C0293"
"3" "C0299" 1230629 1230707 "forward" 1 "C0299"
"4" "C0362" 1552001 1552386 "forward" 1 "C0362"
"5" "C0465" 1972739 1972816 "forward" 1 "C0465"
"6" "C0614" 2653452 2653538 "reverse" 1 "C0614"
"7" "C0664" 2835055 2835167 "forward" 1 "C0664"
"8" "C0719" 3121358 3121579 "forward" 1 "C0719"
"9" "IS128" 2653515 2653723 "forward" 1 "IS128"
"10" "aaeR" 3389520 3390449 "forward" 1 "aaeR"
"11" "aaeXAB" 3386221 3389337 "reverse" 3 "aaeX,aaeA,aaeB"
"12" "aas-lplT" 2972669 2976014 "reverse" 2 "aas,lplT"
"13" "aat" 926728 927432 "reverse" 1 "aat"
"14" "abgABT-ogt" 1399721 1404565 "reverse" 4 "abgA,abgB,abgT,ogt"
"15" "abgR" 1404741 1405649 "forward" 1 "abgR"
"16" "abpAB" 2761351 2765153 "reverse" 2 "abpA,abpB"
"17" "abrB" 746723 747769 "reverse" 1 "abrB"
"18" "accA" 208621 209580 "forward" 1 "accA"
"19" "accBC" 3405436 3407266 "forward" 2 "accB,accC"
"20" "accD" 2433012 2433926 "reverse" 1 "accD"
"21" "aceBAK" 4215478 4220332 "forward" 3 "aceB,aceA,aceK"
"22" "ackA-pta" 2413470 2416891 "forward" 2 "ackA,pta"
"23" "acnA" 1335831 1338506 "forward" 1 "acnA"
"24" "acnB" 131615 134212 "forward" 1 "acnB"
"25" "acpH" 424337 424918 "reverse" 1 "acpH"
"26" "acpT" 3612969 3613556 "forward" 1 "acpT"
"27" "acrAB" 481254 485619 "reverse" 2 "acrA,acrB"
"28" "acrD" 2587595 2590708 "forward" 1 "acrD"
"29" "acrEF" 3413864 3418137 "forward" 2 "acrE,acrF"
"30" "acrR" 485761 486408 "forward" 1 "acrR"
"31" "acrZ" 794773 794922 "forward" 1 "acrZ"
"32" "acs-yjcH-actP" 4283253 4287371 "reverse" 3 "acs,yjcH,actP"
"33" "ada-alkB" 2308691 2310405 "reverse" 2 "ada,alkB"
"34" "add" 1702233 1703234 "forward" 1 "add"
"35" "adeD" 3843964 3845730 "forward" 1 "adeD"
"36" "adeP" 3895272 3896609 "reverse" 1 "adeP"
"37" "adeQ" 3842455 3843789 "reverse" 1 "adeQ"
